62000,353949,295054,192498
384631,21587,466701,308306
400596,263994,37719,310486
365950,498484,383378,430104
189661,238854,267762,68473
98533,284335,230245,352660
121607,499857,460744,460626
118536,348001,310446,372801
464801,89949,365784,451544
319524,150230,459959,415580
471152,22677,321569,303709
386963,349049,128181,210483
148232,141893,89697,23191
343436,175514,138626,126409
7054,1024,104581,8306
21091,451010,375811,79658
2984,355907,102159,25929
220266,424000,225840,452713
138632,384850,196969,429067
322359,127033,182315,385209
437817,470213,303445,332284
191462,4636,328190,320885
247034,476261,754664,46878
2608,4013,9763,44219
4597,439409,436138,265689
420835,458265,446161,78584
392871,176954,268796,284073
254097,341067,325834,220938
4158,2404,409041,1630
355871,138603,352145,66306
16401,289169,309562,205437
477171,265468,220386,315133
302755,319943,418648,337647
225590,414146,37441,87434
269604,380455,374963,92634
32710,183597,132775,167342
448431,309670,259990,341559
278924,55617,258081,443206
5,2,424245,9
188000,471994,10564,429202
34375,481354,278377,42066
2,1,395319,1
316549,498518,471570,305082
249622,477932,452788,240399
445836,403879,53856,260739
42775,288143,77868,167921
10475,1040,450571,4869
16606,473434,455086,453867
387347,456576,45213,97322
483215,1801,370286,98673
186139,364581,432814,241236
266329,264154,472090,463093
225413,76769,160095,306921
688,814,546,403871
221501,168641,457586,346685
21829,83118,383273,444087
469237,358961,269600,367708
88944,102157,254267,342956
155978,433019,263074,484918
36898,368601,343332,204799
421496,245913,181383,91341
55642,165954,345107,168397
336848,369062,165927,118020
274433,69858,40944,86779
437792,321605,193048,212340
354932,362308,179594,311763
145205,79263,435446,480957
78666,90200,468662,422629
12892,189348,297941,87537
401057,480169,197063,308112
16355,494560,139715,146208
381434,113543,63126,315149
378433,31591,339815,166884
213230,214324,47085,297292
224198,428023,205374,343765
195615,113733,492505,437147
59002,264206,37918,35401
349655,25593,68931,419111
329330,355675,91530,108964
698,7467,22698,27
124738,284551,491421,21744
369929,306636,437183,361570
232813,335779,339435,392196
154024,443702,213358,141646
192852,470518,285449,418946
77638,289232,288411,19782
413710,128809,41710,46258
279219,114236,114019,366422
370811,229,22,5
